Pattern,Reasoning_Clause,Decision
Other/Unspecified,requested “that manufacturers of otc products associating the terms ‘sinus’ and ‘headach,Denial
Other/Unspecified,it does not contain the complete certification,Denial
Procedural Issue,e submit a new citizen petition under 21 cfr 10,Denial
Other/Unspecified,"ons described, the agency denies your petition",Denial
Other/Unspecified,"grounds for the petition, you claim the “information has been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u",Denial
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Denial
Other/Unspecified,"answers pet food, in 2019",Denial
Other/Unspecified,"ed on our review of these materials, and for the reasons described below, we conclude that the petition does not contain facts demonstrating any reaso",Denial
Other/Unspecified,"ons stated below, fda is denying the petition",Denial
Other/Unspecified,semia who require regular red blood cell (rbc) transfusions,Denial
Other/Unspecified,"sociated with life-long anemia requiring frequent rbc transfusions, complicated by organopathy related to iron overload, reduced quality of life, and",Denial
Other/Unspecified,"our review of these materials, and for the reasons described below, we conclude that the petition does not contain facts demonstrating any reasonable",Denial
Other/Unspecified,that the petition does not contain facts demonstrating any reasonable grounds for the requested actions,Denial
Other/Unspecified,"details for public meetings are finalized, fda will post information on its website",Denial
Procedural Issue,"fda action on a meeting does not constitute final administrative action subject to judicial review, this response is not reviewable by a court",Denial
Public Health Benefit,that such meetings would be in the public interest,Denial
Public Health Benefit,"been increased public interest in animal food and animal food ingredients over the past several years, and that stakeholders would like the opportuni",Denial
Other/Unspecified,"details for public meetings are finalized, we will post information on our website",Denial
Other/Unspecified,"stated in the tentative response to your petition fda-2021-p-0884, fda is considering the concerns raise",Denial
Public Health Benefit,that such meetings would be in the public interest,Denial
Public Health Benefit,"been increased public interest in animal food and animal food ingredients over the past several years, and that stakeholders would like the opportuni",Denial
Other/Unspecified,"details for public meetings are finalized, we will post information on our website",Denial
Other/Unspecified,"stated in the tentative response to your petition fda-2021-p-0884, fda is considering the concerns raise",Denial
Public Health Benefit,that such meetings would be in the public interest,Denial
Other/Unspecified,"grounds for these petitions, you claim the “information has been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u",Denial
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Denial
Other/Unspecified,"grounds for the petition, you claim the “information has been requested through foia ‘3 or more times’ and fda is now required to comply with 5 u",Denial
Other/Unspecified,ed to any person under [foia]; and … that have been requested 3 or more times[,Denial
Other/Unspecified,"t three foia requests for these records, no records were released and the requests were closed",Denial
Other/Unspecified,"on(s) stated above, we are denying your petition",Denial
Other/Unspecified,well as representative information known to the petitioner which is unfavorable to the petitioner's position,Denial
Other/Unspecified,"t, fda has granted at least some citizen petitions requesting that the agency post records consistent with 5 u",Denial
Other/Unspecified,"that in the past, fda has granted at least some citizen petitions requesting that the agency post records consistent with 5 u",Denial
Other/Unspecified,"ed under foia, they will be posted in accordance with 5 u",Denial
Procedural Issue,"sociate commissioner for regulatory affairs 2 fda regulations specify that a petition must request the commissioner of food and drugs to “issue, amend",Denial
Other/Unspecified,well as representative information known to the petitioner which is unfavorable to the petitioner's position,Denial
Other/Unspecified,"t, fda has granted at least some citizen petitions requesting that the agency post records consistent",Denial
Other/Unspecified,"that in the past, fda has granted at least some citizen petitions requesting that the agency post records consistent",Denial
Other/Unspecified,"on(s) stated above, we are denying your petition",Denial
Other/Unspecified,"on(s) stated above, we are denying your petition",Denial
Other/Unspecified,well as representative information known to the petitioner which is unfavorable to the petitioner's position,Denial
Other/Unspecified,"t, fda has granted at least some citizen petitions requesting that the agency post records consistent with 5 u",Denial
Other/Unspecified,"that in the past, fda has granted at least some citizen petitions requesting that the agency post records consistent with 5 u",Denial
Other/Unspecified,"auricular vagus nerve stimulation (avns), transcranial direct current stimulation (tdcs), and cranial electrotherapy stimulation (ces), communicate t",Denial
Sufficient Evidence,"we are unaware of any clinical studies demonstrating that both sulfur and salicylic acid contribute to the overall effectiveness of the combination,",Denial
Other/Unspecified,required by 2 1 cfr 33o,Denial
Insufficient Evidence,inadequate effectiveness data to classify the combination of sulfur and salicylic acid as grase (47 fr 12430 at 12471),Denial
